order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,106,Mary Jane,276,Tape,Stationery,Card,2,970949,2021-05-08 18:40:02,USA,Chicago,www.flipkart.com,37406,N,Invalid CVV
2,184,Neo,234,Classics,Books,Wallet,39,8241,2021-04-24 19:19:57,USA,Chicago,www.flipkart.com,45295,N,Invalid CVV
3,177,John Smith,215,Comics,Books,Internet Banking,33,1449,2021-08-22 15:15:59,UK,London,www.flipkart.com,56899,Y,
4,101,Trinity,293,Oven Mitts,Home & Kitchen,Card,32,4372,2021-11-04 03:52:18,Australia,Sydney,www.flipkart.com,73676,N,Invalid CVV
5,100,Mary Jane,202,Binder,Stationery,Card,18,1380,2021-11-30 08:08:51,USA,New York,www.ebay.in,59780,Y,
6,130,John Smith,243,Binder,Stationery,UPI,46,2486,2021-09-17 22:03:18,Australia,Melbourne,www.ebay.in,81568,Y,
7,191,Mary Jane,247,Food Storage Containers,Home & Kitchen,Wallet,31,8694,2021-12-12 05:26:07,Australia,Sydney,www.ebay.in,87283,N,Insufficient Funds
8,134,John Smith,251,VR Headset,Electronics,UPI,3,8898,2021-07-12 11:33:16,UK,Oxford,www.tatacliq.com,55227,N,Insufficient Funds
9,159,Mary Jane,272,Non-fiction,Books,Internet Banking,4,7703,2021-09-26 04:27:03,UK,London,www.amazon.com,44757,N,Insufficient Funds
10,185,John Smith,207,Thrillers,Books,UPI,44,7416,2021-12-13 10:26:24,Germany,Munich,www.amazon.com,44980,Y,
11,171,Mary Jane,296,Shoes,Clothing,Wallet,24,8374,2021-06-26 17:18:01,Germany,Munich,www.tatacliq.com,60226,Y,
12,150,Mary Jane,297,Tablet,Electronics,Card,43,1223,2021-05-27 09:37:32,UK,London,www.tatacliq.com,32336,Y,
13,171,John Smith,254,Pants,Clothing,Internet Banking,10,4608,2021-04-27 12:29:52,USA,Chicago,www.tatacliq.com,15158,Y,
14,144,John Smith,266,External Hard Drive,Electronics,Internet Banking,4,9103,2021-12-16 21:17:05,India,Bengaluru,www.amazon.com,71006,N,Invalid CVV
